
*************************************************************
                       POINT NUMBER = 1
*************************************************************
DyFeO3                  ref        calc    error^2    %P.R.E.
cell(5_z)              0.6137     0.5953  3.3720e-04    2.99
cell(6_x)              0.3059     0.2963  9.2564e-05    3.15
cell(6_y)              0.0573     0.0509  4.0717e-05   11.14
cell(6_z)              0.1910     0.2019  1.1925e-04    5.72
cell(Volume)         223.0089   228.6860  3.2230e+01    2.55
cell(a)                5.5820     5.5089  5.3458e-03    1.31
cell(b)                7.5910     7.6923  1.0255e-02    1.33
cell(c)                5.2630     5.3966  1.7853e-02    2.54
-------------------------------------------------------------
Er2O3                   ref        calc    error^2    %P.R.E.
cell(1_x)              0.2500     0.2500  0.0000e+00    0.00
cell(1_y)              0.2500     0.2500  0.0000e+00    0.00
cell(1_z)              0.2500     0.2500  0.0000e+00    0.00
cell(2_x)              0.9670     0.9709  1.5304e-05    0.40
cell(2_y)              0.0000     0.0000  0.0000e+00    0.00
cell(2_z)              0.2500     0.2500  0.0000e+00    0.00
cell(3_x)              0.3911     0.3899  1.5055e-06    0.31
cell(3_y)              0.1512     0.1510  3.7636e-08    0.13
cell(3_z)              0.3799     0.3810  1.2522e-06    0.29
cell(4_x)              0.3911     0.3897  1.9321e-06    0.36
cell(4_y)              0.1512     0.1509  1.0240e-07    0.21
cell(4_z)              0.3799     0.3811  1.5104e-06    0.32
cell(Volume)        1172.2391  1215.4547  1.8676e+03    3.69
cell(a)               10.5440    10.6720  1.6387e-02    1.21
cell(b)               10.5440    10.6720  1.6387e-02    1.21
cell(c)               10.5440    10.6720  1.6387e-02    1.21
-------------------------------------------------------------
EuFeO3                  ref        calc    error^2    %P.R.E.
cell(1_x)              0.4399     0.4678  7.7858e-04    6.34
cell(1_y)              0.2500     0.2500  0.0000e+00    0.00
cell(1_z)              0.0145     0.0050  9.0250e-05   65.52
cell(2_x)              0.0000     0.0000  0.0000e+00    0.00
cell(2_y)              0.0000     0.0000  0.0000e+00    0.00
cell(2_z)              0.0000     0.0000  0.0000e+00    0.00
cell(3_x)              0.5320     0.5307  1.7450e-06    0.25
cell(3_y)              0.2500     0.2500  0.0000e+00    0.00
cell(3_z)              0.5978     0.5778  4.0160e-04    3.35
cell(4_x)              0.1994     0.2091  9.3316e-05    4.84
cell(4_y)              0.0506     0.0412  8.8906e-05   18.63
cell(4_z)              0.3023     0.2924  9.8744e-05    3.29
cell(5_x)              0.5320     0.5311  8.5748e-07    0.17
cell(5_y)              0.2500     0.2500  0.0000e+00    0.00
cell(5_z)              0.5978     0.5780  3.9263e-04    3.31
cell(6_x)              0.1994     0.2089  9.0136e-05    4.76
cell(6_y)              0.0506     0.0413  8.5989e-05   18.33
cell(6_z)              0.3023     0.2924  9.8069e-05    3.28
cell(Volume)         231.4371   236.8770  2.9592e+01    2.35
cell(a)                5.6060     5.5570  2.3996e-03    0.87
cell(b)                7.6850     7.7701  7.2430e-03    1.11
cell(c)                5.3720     5.4860  1.2992e-02    2.12
-------------------------------------------------------------
Eu2O3                   ref        calc    error^2    %P.R.E.
cell(1_x)              0.0000     0.0000  0.0000e+00    0.00
cell(1_y)              0.0000     0.0000  0.0000e+00    0.00
cell(1_z)              0.0000     0.0000  0.0000e+00    0.00
cell(2_x)              0.2806     0.2795  1.2905e-06    0.40
cell(2_y)              0.0000     0.0000  0.0000e+00    0.00
cell(2_z)              0.2500     0.2500  0.0000e+00    0.00
cell(3_x)              0.0960     0.0990  9.0902e-06    3.14
cell(3_y)              0.3559     0.3603  1.9369e-05    1.24
cell(3_z)              0.1301     0.1311  9.7023e-07    0.76
cell(4_x)              0.0960     0.0991  9.8470e-06    3.27
cell(4_y)              0.3559     0.3605  2.0794e-05    1.28
cell(4_z)              0.1301     0.1312  1.1729e-06    0.83
cell(Volume)        1283.7630  1329.6099  2.1019e+03    3.57
cell(a)               10.8683    10.9962  1.6350e-02    1.18
cell(b)               10.8683    10.9962  1.6350e-02    1.18
cell(c)               10.8683    10.9962  1.6350e-02    1.18
-------------------------------------------------------------
HoFeO3                  ref        calc    error^2    %P.R.E.
cell(1_x)              0.4709     0.4622  7.5325e-05    1.84
cell(1_y)              0.2500     0.2500  0.0000e+00    0.00
cell(1_z)              0.0061     0.0068  5.3876e-07   12.03
cell(2_x)              0.0000     0.0000  0.0000e+00    0.00
cell(2_y)              0.0000     0.0000  0.0000e+00    0.00
cell(2_z)              0.0000     0.0000  0.0000e+00    0.00
cell(3_x)              0.5110     0.5410  8.9742e-04    5.86
cell(3_y)              0.2500     0.2500  0.0000e+00    0.00
cell(3_z)              0.5690     0.5908  4.7324e-04    3.82
cell(4_x)              0.2190     0.2051  1.9424e-04    6.36
cell(4_y)              0.0390     0.0483  8.6881e-05   23.90
cell(4_z)              0.2800     0.2969  2.8399e-04    6.02
cell(5_x)              0.5110     0.5413  9.2076e-04    5.94
cell(5_y)              0.2500     0.2500  0.0000e+00    0.00
cell(5_z)              0.5690     0.5910  4.8268e-04    3.86
cell(6_x)              0.2190     0.2049  1.9991e-04    6.46
cell(6_y)              0.0390     0.0485  9.0174e-05   24.35
cell(6_z)              0.2800     0.2968  2.8342e-04    6.01
cell(Volume)         224.3297   230.9883  4.4337e+01    2.97
cell(a)                5.5910     5.5248  4.3807e-03    1.18
cell(b)                7.6020     7.7117  1.2028e-02    1.44
cell(c)                5.2780     5.4216  2.0607e-02    2.72
-------------------------------------------------------------
Ho2O3                   ref        calc    error^2    %P.R.E.
cell(1_x)              0.2500     0.2500  0.0000e+00    0.00
cell(1_y)              0.2500     0.2500  0.0000e+00    0.00
cell(1_z)              0.2500     0.2500  0.0000e+00    0.00
cell(2_x)              0.9673     0.9708  1.2419e-05    0.36
cell(2_y)              0.0000     0.0000  0.0000e+00    0.00
cell(2_z)              0.2500     0.2500  0.0000e+00    0.00
cell(3_x)              0.3888     0.3898  1.0774e-06    0.27
cell(3_y)              0.1519     0.1510  8.0282e-07    0.59
cell(3_z)              0.3811     0.3810  4.3560e-09    0.02
cell(4_x)              0.3888     0.3897  7.6738e-07    0.23
cell(4_y)              0.1519     0.1509  1.0424e-06    0.67
cell(4_z)              0.3811     0.3811  1.6810e-09    0.01
cell(Volume)        1196.9246  1245.4409  2.3538e+03    4.05
cell(a)               10.6175    10.7591  2.0040e-02    1.33
cell(b)               10.6175    10.7591  2.0040e-02    1.33
cell(c)               10.6175    10.7591  2.0040e-02    1.33
-------------------------------------------------------------
LaFeO3                  ref        calc    error^2    %P.R.E.
cell(1_x)              0.4709     0.4781  5.2302e-05    1.54
cell(1_y)              0.2500     0.2500  0.0000e+00    0.00
cell(1_z)              0.0061     0.0028  1.1076e-05   54.56
cell(2_x)              0.0000     0.0000  0.0000e+00    0.00
cell(2_y)              0.0000     0.0000  0.0000e+00    0.00
cell(2_z)              0.0000     0.0000  0.0000e+00    0.00
cell(3_x)              0.5110     0.5202  8.5489e-05    1.81
cell(3_y)              0.2500     0.2500  0.0000e+00    0.00
cell(3_z)              0.5690     0.5650  1.6225e-05    0.71
cell(4_x)              0.2190     0.2147  1.8862e-05    1.98
cell(4_y)              0.0390     0.0339  2.6041e-05   13.08
cell(4_z)              0.2800     0.2862  3.8267e-05    2.21
cell(5_x)              0.5110     0.5206  9.1260e-05    1.87
cell(5_y)              0.2500     0.2500  0.0000e+00    0.00
cell(5_z)              0.5690     0.5652  1.4205e-05    0.66
cell(6_x)              0.2190     0.2145  2.0061e-05    2.05
cell(6_y)              0.0390     0.0340  2.4651e-05   12.73
cell(6_z)              0.2800     0.2863  3.9376e-05    2.24
cell(Volume)         242.8598   246.7375  1.5036e+01    1.60
cell(a)                5.5647     5.6082  1.8963e-03    0.78
cell(b)                7.8551     7.8907  1.2671e-03    0.45
cell(c)                5.5560     5.5756  3.8475e-04    0.35
-------------------------------------------------------------
La2O3                   ref        calc    error^2    %P.R.E.
cell(1_x)              0.3333     0.3333  0.0000e+00    0.00
cell(1_y)              0.6667     0.6667  0.0000e+00    0.00
cell(1_z)              0.2469     0.2492  5.1484e-06    0.92
cell(2_x)              0.3333     0.3333  0.0000e+00    0.00
cell(2_y)              0.6667     0.6667  0.0000e+00    0.00
cell(2_z)              0.6454     0.6615  2.5873e-04    2.49
cell(3_x)              0.0000     0.0000  0.0000e+00    0.00
cell(3_y)              0.0000     0.0000  0.0000e+00    0.00
cell(3_z)              0.0000     0.0000  0.0000e+00    0.00
cell(4_x)              0.3333     0.3333  0.0000e+00    0.00
cell(4_y)              0.6667     0.6667  0.0000e+00    0.00
cell(4_z)              0.6454     0.6621  2.7896e-04    2.59
cell(5_x)              0.0000     0.0000  0.0000e+00    0.00
cell(5_y)              0.0000     0.0000  0.0000e+00    0.00
cell(5_z)              0.0000     0.0000  0.0000e+00    0.00
cell(Volume)          82.7264    82.9345  4.3300e-02    0.25
cell(a)                3.9360     3.8919  1.9417e-03    1.12
cell(b)                3.9360     3.8919  1.9417e-03    1.12
cell(c)                6.1660     6.3223  2.4423e-02    2.53
-------------------------------------------------------------
LuFeO3                  ref        calc    error^2    %P.R.E.
cell(1_x)              0.0715     0.0408  9.4470e-04   42.99
cell(1_y)              0.2500     0.2500  0.0000e+00    0.00
cell(1_z)              0.4800     0.4916  1.3386e-04    2.41
cell(2_x)              0.0000     0.0000  0.0000e+00    0.00
cell(2_y)              0.0000     0.0000  0.0000e+00    0.00
cell(2_z)              0.0000     0.0000  0.0000e+00    0.00
cell(3_x)              0.4539     0.4504  1.2376e-05    0.78
cell(3_y)              0.2500     0.2500  0.0000e+00    0.00
cell(3_z)              0.6199     0.6011  3.5517e-04    3.04
cell(4_x)              0.3071     0.2975  9.2872e-05    3.14
cell(4_y)              0.0621     0.0540  6.5173e-05   13.00
cell(4_z)              0.1893     0.2003  1.2162e-04    5.83
cell(5_x)              0.4539     0.4500  1.5070e-05    0.86
cell(5_y)              0.2500     0.2500  0.0000e+00    0.00
cell(5_z)              0.6199     0.6013  3.4693e-04    3.00
cell(6_x)              0.3071     0.2977  8.8435e-05    3.06
cell(6_y)              0.0621     0.0542  6.2221e-05   12.70
cell(6_z)              0.1893     0.2004  1.2292e-04    5.86
cell(Volume)         218.7534   225.5894  4.6731e+01    3.12
cell(a)                5.5470     5.4841  3.9541e-03    1.13
cell(b)                7.5650     7.6710  1.1241e-02    1.40
cell(c)                5.2130     5.3624  2.2318e-02    2.87
-------------------------------------------------------------
Lu2O3                   ref        calc    error^2    %P.R.E.
cell(1_x)              0.2500     0.2500  0.0000e+00    0.00
cell(1_y)              0.2500     0.2500  0.0000e+00    0.00
cell(1_z)              0.2500     0.2500  0.0000e+00    0.00
cell(2_x)              0.9670     0.9711  1.6565e-05    0.42
cell(2_y)              0.0000     0.0000  0.0000e+00    0.00
cell(2_z)              0.2500     0.2500  0.0000e+00    0.00
cell(3_x)              0.3912     0.3899  1.5725e-06    0.32
cell(3_y)              0.1521     0.1510  1.1772e-06    0.71
cell(3_z)              0.3800     0.3810  9.8208e-07    0.26
cell(4_x)              0.3912     0.3898  2.0136e-06    0.36
cell(4_y)              0.1521     0.1509  1.4689e-06    0.80
cell(4_z)              0.3800     0.3811  1.2254e-06    0.29
cell(Volume)        1110.3255  1174.9504  4.1764e+03    5.82
cell(a)               10.3550    10.5521  3.8857e-02    1.90
cell(b)               10.3550    10.5521  3.8857e-02    1.90
cell(c)               10.3550    10.5521  3.8857e-02    1.90
-------------------------------------------------------------
PrFeO3                  ref        calc    error^2    %P.R.E.
cell(1_x)              0.4563     0.4737  3.0408e-04    3.82
cell(1_y)              0.2500     0.2500  0.0000e+00    0.00
cell(1_z)              0.0090     0.0036  2.9333e-05   60.18
cell(2_x)              0.0000     0.0000  0.0000e+00    0.00
cell(2_y)              0.0000     0.0000  0.0000e+00    0.00
cell(2_z)              0.0000     0.0000  0.0000e+00    0.00
cell(3_x)              0.5212     0.5228  2.4242e-06    0.30
cell(3_y)              0.2500     0.2500  0.0000e+00    0.00
cell(3_z)              0.5817     0.5672  2.1022e-04    2.49
cell(4_x)              0.2081     0.2130  2.4118e-05    2.36
cell(4_y)              0.0437     0.0353  6.9839e-05   19.12
cell(4_z)              0.2925     0.2879  2.0739e-05    1.56
cell(5_x)              0.5212     0.5231  3.7210e-06    0.37
cell(5_y)              0.2500     0.2500  0.0000e+00    0.00
cell(5_z)              0.5817     0.5674  2.0363e-04    2.45
cell(6_x)              0.2081     0.2129  2.2743e-05    2.29
cell(6_y)              0.0437     0.0355  6.7536e-05   18.81
cell(6_z)              0.2925     0.2880  2.0115e-05    1.53
cell(Volume)         238.0849   240.7954  7.3466e+00    1.14
cell(a)                5.5780     5.5703  5.9059e-05    0.14
cell(b)                7.7860     7.8182  1.0343e-03    0.41
cell(c)                5.4820     5.5292  2.2297e-03    0.86
-------------------------------------------------------------
Pr2O3                   ref        calc    error^2    %P.R.E.
cell(1_x)              0.2500     0.2500  0.0000e+00    0.00
cell(1_y)              0.2500     0.2500  0.0000e+00    0.00
cell(1_z)              0.2500     0.2500  0.0000e+00    0.00
cell(2_x)              0.9695     0.9703  6.6260e-07    0.08
cell(2_y)              0.0000     0.0000  0.0000e+00    0.00
cell(2_z)              0.2500     0.2500  0.0000e+00    0.00
cell(3_x)              0.3905     0.3896  8.2084e-07    0.23
cell(3_y)              0.1494     0.1510  2.4618e-06    1.05
cell(3_z)              0.3786     0.3811  6.3554e-06    0.67
cell(4_x)              0.3905     0.3894  1.1300e-06    0.27
cell(4_y)              0.1494     0.1508  2.0938e-06    0.97
cell(4_z)              0.3786     0.3812  6.8278e-06    0.69
cell(Volume)        1438.3050  1392.2483  2.1212e+03    3.20
cell(a)               11.2880    11.1662  1.4834e-02    1.08
cell(b)               11.2880    11.1662  1.4834e-02    1.08
cell(c)               11.2880    11.1662  1.4834e-02    1.08
-------------------------------------------------------------
SmFeO3                  ref        calc    error^2    %P.R.E.
cell(1_x)              0.4433     0.4702  7.2302e-04    6.07
cell(1_y)              0.2500     0.2500  0.0000e+00    0.00
cell(1_z)              0.0131     0.0044  7.5794e-05   66.46
cell(2_x)              0.0000     0.0000  0.0000e+00    0.00
cell(2_y)              0.0000     0.0000  0.0000e+00    0.00
cell(2_z)              0.0000     0.0000  0.0000e+00    0.00
cell(3_x)              0.5290     0.5274  2.4242e-06    0.29
cell(3_y)              0.2500     0.2500  0.0000e+00    0.00
cell(3_z)              0.5947     0.5736  4.4694e-04    3.55
cell(4_x)              0.2008     0.2106  9.5472e-05    4.87
cell(4_y)              0.0497     0.0388  1.1781e-04   21.84
cell(4_z)              0.2996     0.2907  7.9781e-05    2.98
cell(5_x)              0.5290     0.5278  1.3689e-06    0.22
cell(5_y)              0.2500     0.2500  0.0000e+00    0.00
cell(5_z)              0.5947     0.5738  4.3727e-04    3.52
cell(6_x)              0.2008     0.2104  9.2448e-05    4.79
cell(6_y)              0.0497     0.0390  1.1460e-04   21.54
cell(6_z)              0.2996     0.2907  7.8890e-05    2.96
cell(Volume)         233.0557   238.7523  3.2451e+01    2.44
cell(a)                5.5970     5.5647  1.0402e-03    0.58
cell(b)                7.7110     7.7924  6.6276e-03    1.06
cell(c)                5.4000     5.5059  1.1220e-02    1.96
-------------------------------------------------------------
Sm2O3                   ref        calc    error^2    %P.R.E.
cell(1_x)              0.2500     0.2500  0.0000e+00    0.00
cell(1_y)              0.2500     0.2500  0.0000e+00    0.00
cell(1_z)              0.2500     0.2500  0.0000e+00    0.00
cell(2_x)              0.9685     0.9705  3.9521e-06    0.21
cell(2_y)              0.0000     0.0000  0.0000e+00    0.00
cell(2_z)              0.2500     0.2500  0.0000e+00    0.00
cell(3_x)              0.3907     0.3897  1.0465e-06    0.26
cell(3_y)              0.1504     0.1510  3.4106e-07    0.39
cell(3_z)              0.3791     0.3811  3.9800e-06    0.53
cell(4_x)              0.3907     0.3895  1.3924e-06    0.30
cell(4_y)              0.1504     0.1509  2.1437e-07    0.31
cell(4_z)              0.3791     0.3812  4.3723e-06    0.55
cell(Volume)        1329.1858  1356.4280  7.4214e+02    2.05
cell(a)               10.9950    11.0696  5.5664e-03    0.68
cell(b)               10.9950    11.0696  5.5664e-03    0.68
cell(c)               10.9950    11.0696  5.5664e-03    0.68
-------------------------------------------------------------
TmFeO3                  ref        calc    error^2    %P.R.E.
cell(1_x)              0.0691     0.0399  8.5200e-04   42.24
cell(1_y)              0.2500     0.2500  0.0000e+00    0.00
cell(1_z)              0.4810     0.4921  1.2299e-04    2.31
cell(2_x)              0.0000     0.0000  0.0000e+00    0.00
cell(2_y)              0.0000     0.0000  0.0000e+00    0.00
cell(2_z)              0.0000     0.0000  0.0000e+00    0.00
cell(3_x)              0.4559     0.4529  9.1264e-06    0.66
cell(3_y)              0.2500     0.2500  0.0000e+00    0.00
cell(3_z)              0.6148     0.5981  2.7722e-04    2.71
cell(4_x)              0.3057     0.2968  7.8482e-05    2.90
cell(4_y)              0.0587     0.0524  3.9690e-05   10.73
cell(4_z)              0.1907     0.2010  1.0663e-04    5.41
cell(5_x)              0.4559     0.4525  1.1492e-05    0.74
cell(5_y)              0.2500     0.2500  0.0000e+00    0.00
cell(5_z)              0.6148     0.5984  2.6988e-04    2.67
cell(6_x)              0.3057     0.2971  7.4563e-05    2.82
cell(6_y)              0.0587     0.0526  3.7405e-05   10.42
cell(6_z)              0.1907     0.2011  1.0756e-04    5.44
cell(Volume)         222.0563   227.2948  2.7442e+01    2.36
cell(a)                5.5760     5.4975  6.1666e-03    1.41
cell(b)                7.5840     7.6839  9.9810e-03    1.32
cell(c)                5.2510     5.3808  1.6841e-02    2.47
-------------------------------------------------------------
Tm2O3                   ref        calc    error^2    %P.R.E.
cell(1_x)              0.2500     0.2500  0.0000e+00    0.00
cell(1_y)              0.2500     0.2500  0.0000e+00    0.00
cell(1_z)              0.2500     0.2500  0.0000e+00    0.00
cell(2_x)              0.9661     0.9710  2.4443e-05    0.51
cell(2_y)              0.0000     0.0000  0.0000e+00    0.00
cell(2_z)              0.2500     0.2500  0.0000e+00    0.00
cell(3_x)              0.3890     0.3899  8.7422e-07    0.24
cell(3_y)              0.1540     0.1510  8.8983e-06    1.94
cell(3_z)              0.3790     0.3810  3.9920e-06    0.53
cell(4_x)              0.3890     0.3898  5.9753e-07    0.20
cell(4_y)              0.1540     0.1509  9.6597e-06    2.02
cell(4_z)              0.3790     0.3811  4.4605e-06    0.56
cell(Volume)        1154.5848  1195.6519  1.6865e+03    3.56
cell(a)               10.4908    10.6137  1.5113e-02    1.17
cell(b)               10.4908    10.6137  1.5113e-02    1.17
cell(c)               10.4908    10.6137  1.5113e-02    1.17
-------------------------------------------------------------
YbFeO3                  ref        calc    error^2    %P.R.E.
cell(1_x)              0.0708     0.0406  9.1192e-04   42.65
cell(1_y)              0.2500     0.2500  0.0000e+00    0.00
cell(1_z)              0.4806     0.4917  1.2290e-04    2.31
cell(2_x)              0.0000     0.0000  0.0000e+00    0.00
cell(2_y)              0.0000     0.0000  0.0000e+00    0.00
cell(2_z)              0.0000     0.0000  0.0000e+00    0.00
cell(3_x)              0.4537     0.4510  7.2684e-06    0.59
cell(3_y)              0.2500     0.2500  0.0000e+00    0.00
cell(3_z)              0.6169     0.6003  2.7430e-04    2.68
cell(4_x)              0.3077     0.2973  1.0804e-04    3.38
cell(4_y)              0.0599     0.0536  3.9351e-05   10.47
cell(4_z)              0.1886     0.2005  1.4168e-04    6.31
cell(5_x)              0.4537     0.4506  9.3758e-06    0.67
cell(5_y)              0.2500     0.2500  0.0000e+00    0.00
cell(5_z)              0.6169     0.6006  2.6713e-04    2.65
cell(6_x)              0.3077     0.2975  1.0329e-04    3.30
cell(6_y)              0.0599     0.0538  3.7064e-05   10.16
cell(6_z)              0.1886     0.2006  1.4302e-04    6.34
cell(Volume)         221.1158   225.9771  2.3633e+01    2.20
cell(a)                5.5686     5.4874  6.5975e-03    1.46
cell(b)                7.5843     7.6735  7.9568e-03    1.18
cell(c)                5.2355     5.3667  1.7210e-02    2.51
-------------------------------------------------------------
Yb2O3                   ref        calc    error^2    %P.R.E.
cell(1_x)              0.2500     0.2500  0.0000e+00    0.00
cell(1_y)              0.2500     0.2500  0.0000e+00    0.00
cell(1_z)              0.2500     0.2500  0.0000e+00    0.00
cell(2_x)              0.9675     0.9711  1.2624e-05    0.37
cell(2_y)              0.0000     0.0000  0.0000e+00    0.00
cell(2_z)              0.2500     0.2500  0.0000e+00    0.00
cell(3_x)              0.3902     0.3899  6.8644e-08    0.07
cell(3_y)              0.1532     0.1510  4.7786e-06    1.43
cell(3_z)              0.3804     0.3810  3.5284e-07    0.16
cell(4_x)              0.3902     0.3898  1.8233e-07    0.11
cell(4_y)              0.1532     0.1509  5.3500e-06    1.51
cell(4_z)              0.3804     0.3811  5.0268e-07    0.19
cell(Volume)        1136.5858  1179.9038  1.8765e+03    3.81
cell(a)               10.4360    10.5669  1.7143e-02    1.25
cell(b)               10.4360    10.5669  1.7143e-02    1.25
cell(c)               10.4360    10.5669  1.7143e-02    1.25
-------------------------------------------------------------
YFeO3                   ref        calc    error^2    %P.R.E.
cell(1_x)              0.0680     0.0396  8.0895e-04   41.83
cell(1_y)              0.2500     0.2500  0.0000e+00    0.00
cell(1_z)              0.4811     0.4918  1.1462e-04    2.23
cell(2_x)              0.0000     0.0000  0.0000e+00    0.00
cell(2_y)              0.0000     0.0000  0.0000e+00    0.00
cell(2_z)              0.0000     0.0000  0.0000e+00    0.00
cell(3_x)              0.4614     0.4476  1.9063e-04    2.99
cell(3_y)              0.2500     0.2500  0.0000e+00    0.00
cell(3_z)              0.6109     0.6041  4.6512e-05    1.12
cell(4_x)              0.3069     0.2986  6.8327e-05    2.69
cell(4_y)              0.0583     0.0556  7.3984e-06    4.67
cell(4_z)              0.1927     0.1991  4.0513e-05    3.30
cell(5_x)              0.4614     0.4473  1.9994e-04    3.06
cell(5_y)              0.2500     0.2500  0.0000e+00    0.00
cell(5_z)              0.6109     0.6044  4.2837e-05    1.07
cell(6_x)              0.3069     0.2989  6.4304e-05    2.61
cell(6_y)              0.0583     0.0558  6.3857e-06    4.33
cell(6_z)              0.1927     0.1991  4.1024e-05    3.32
cell(Volume)         224.7610   225.4531  4.7901e-01    0.31
cell(a)                5.5957     5.4751  1.4533e-02    2.15
cell(b)                7.6046     7.6878  6.9164e-03    1.09
cell(c)                5.2819     5.3562  5.5267e-03    1.41
-------------------------------------------------------------
Y2O3                    ref        calc    error^2    %P.R.E.
cell(1_x)              0.0000     0.0000  0.0000e+00    0.00
cell(1_y)              0.0000     0.0000  0.0000e+00    0.00
cell(1_z)              0.0000     0.0000  0.0000e+00    0.00
cell(2_x)              0.2825     0.2783  1.7447e-05    1.48
cell(2_y)              0.0000     0.0000  0.0000e+00    0.00
cell(2_z)              0.2500     0.2500  0.0000e+00    0.00
cell(3_x)              0.0978     0.0989  1.2455e-06    1.14
cell(3_y)              0.3587     0.3598  1.1215e-06    0.30
cell(3_z)              0.1305     0.1309  1.7057e-07    0.32
cell(4_x)              0.0978     0.0990  1.5129e-06    1.26
cell(4_y)              0.3587     0.3599  1.4617e-06    0.34
cell(4_z)              0.1305     0.1310  2.8730e-07    0.41
cell(Volume)        1192.3311  1160.9952  9.8194e+02    2.63
cell(a)               10.6039    10.5102  8.7834e-03    0.88
cell(b)               10.6039    10.5102  8.7834e-03    0.88
cell(c)               10.6039    10.5102  8.7834e-03    0.88
-------------------------------------------------------------
Fe2O3                   ref        calc    error^2    %P.R.E.
cell(1_x)              0.0000     0.0000  0.0000e+00    0.00
cell(1_y)              0.0000     0.0000  0.0000e+00    0.00
cell(1_z)              0.0000     0.0000  0.0000e+00    0.00
cell(2_x)              0.2850     0.2781  4.6950e-05    2.40
cell(2_y)              0.0000     0.0000  0.0000e+00    0.00
cell(2_z)              0.2500     0.2500  0.0000e+00    0.00
cell(3_x)              0.1290     0.1402  1.2638e-04    8.71
cell(3_y)              0.1470     0.1308  2.6306e-04   11.03
cell(3_z)              0.9165     0.9009  2.4196e-04    1.70
cell(4_x)              0.1290     0.1400  1.2184e-04    8.56
cell(4_y)              0.1470     0.1310  2.5751e-04   10.92
cell(4_z)              0.9165     0.9008  2.4680e-04    1.71
cell(Volume)         828.7298   822.5110  3.8674e+01    0.75
cell(a)                9.3930     9.3694  5.5479e-04    0.25
cell(b)                9.3930     9.3694  5.5479e-04    0.25
cell(c)                9.3930     9.3694  5.5479e-04    0.25
-------------------------------------------------------------
GdFeO3                  ref        calc    error^2    %P.R.E.
